Module,Topic,Primary source,Supporting sources,Additional/benchmark source,Visual source,Verification
5,5.1 Infinite square well,PT1 [1],[1] Chs. 4–5; [3] Ch. 9; [4] Ch. 5; [6] Ch. 12; [8] §4.2–4.3,BEN1–BEN4 where curriculum alignment applies,assets/figures/box_states.png; assets/figures/tunneling_mass_width.png,Examined / cited
5,5.2 Finite wells and bound states,PT1 [1],[1] Chs. 4–5; [3] Ch. 9; [4] Ch. 5; [6] Ch. 12; [8] §4.2–4.3,BEN1–BEN4 where curriculum alignment applies,assets/figures/box_states.png; assets/figures/tunneling_mass_width.png,Examined / cited
5,"5.3 Steps, scattering, and current",PT1 [1],[1] Chs. 4–5; [3] Ch. 9; [4] Ch. 5; [6] Ch. 12; [8] §4.2–4.3,BEN1–BEN4 where curriculum alignment applies,assets/figures/box_states.png; assets/figures/tunneling_mass_width.png,Examined / cited
5,5.4 Barrier tunnelling,PT1 [1],[1] Chs. 4–5; [3] Ch. 9; [4] Ch. 5; [6] Ch. 12; [8] §4.2–4.3,BEN1–BEN4 where curriculum alignment applies,assets/figures/box_states.png; assets/figures/tunneling_mass_width.png,Examined / cited
6,6.1 Quadratic approximation and the oscillator Hamiltonian,PT1 [1],[1] Ch. 6; [3] Appendix C; [5] Ch. 5–6; [6] Ch. 13; [8] §4.4–4.5,BEN1–BEN4 where curriculum alignment applies,assets/figures/harmonic_levels.png; assets/figures/morse_vs_harmonic.png,Examined / cited
6,6.2 Energy ladder and zero-point motion,PT1 [1],[1] Ch. 6; [3] Appendix C; [5] Ch. 5–6; [6] Ch. 13; [8] §4.4–4.5,BEN1–BEN4 where curriculum alignment applies,assets/figures/harmonic_levels.png; assets/figures/morse_vs_harmonic.png,Examined / cited
6,6.3 Ladder operators and selection rules,PT1 [1],[1] Ch. 6; [3] Appendix C; [5] Ch. 5–6; [6] Ch. 13; [8] §4.4–4.5,BEN1–BEN4 where curriculum alignment applies,assets/figures/harmonic_levels.png; assets/figures/morse_vs_harmonic.png,Examined / cited
6,6.4 Molecular vibrations and anharmonicity,PT1 [1],[1] Ch. 6; [3] Appendix C; [5] Ch. 5–6; [6] Ch. 13; [8] §4.4–4.5,BEN1–BEN4 where curriculum alignment applies,assets/figures/harmonic_levels.png; assets/figures/morse_vs_harmonic.png,Examined / cited
7,7.1 Angular-momentum algebra,PT1 [1],[1] Ch. 8; [2] Ch. 4; [3] Ch. 8; [4] Chs. 8 and spin sections; [6] Chs. 16–17,BEN1–BEN4 where curriculum alignment applies,assets/figures/angular_momentum.svg; assets/figures/singlet_triplet.svg,Examined / cited
7,7.2 Ladder operators and geometrical interpretation,PT1 [1],[1] Ch. 8; [2] Ch. 4; [3] Ch. 8; [4] Chs. 8 and spin sections; [6] Chs. 16–17,BEN1–BEN4 where curriculum alignment applies,assets/figures/angular_momentum.svg; assets/figures/singlet_triplet.svg,Examined / cited
7,7.3 Spin one-half and Stern–Gerlach,PT1 [1],[1] Ch. 8; [2] Ch. 4; [3] Ch. 8; [4] Chs. 8 and spin sections; [6] Chs. 16–17,BEN1–BEN4 where curriculum alignment applies,assets/figures/angular_momentum.svg; assets/figures/singlet_triplet.svg,Examined / cited
7,7.4 Addition of angular momenta,PT1 [1],[1] Ch. 8; [2] Ch. 4; [3] Ch. 8; [4] Chs. 8 and spin sections; [6] Chs. 16–17,BEN1–BEN4 where curriculum alignment applies,assets/figures/angular_momentum.svg; assets/figures/singlet_triplet.svg,Examined / cited
8,8.1 Central potential and separation of variables,PT1 [1],[1] Ch. 9; [2] Ch. 5; [5] Ch. 8; [6] Ch. 14; [7] Ch. 4; [8] hydrogen sections,BEN1–BEN4 where curriculum alignment applies,assets/figures/hydrogen_radial.png; assets/figures/orbital_polar_grinter.png,Examined / cited
8,8.2 Quantum numbers and degeneracy,PT1 [1],[1] Ch. 9; [2] Ch. 5; [5] Ch. 8; [6] Ch. 14; [7] Ch. 4; [8] hydrogen sections,BEN1–BEN4 where curriculum alignment applies,assets/figures/hydrogen_radial.png; assets/figures/orbital_polar_grinter.png,Examined / cited
8,"8.3 Orbitals, nodes, and probability",PT1 [1],[1] Ch. 9; [2] Ch. 5; [5] Ch. 8; [6] Ch. 14; [7] Ch. 4; [8] hydrogen sections,BEN1–BEN4 where curriculum alignment applies,assets/figures/hydrogen_radial.png; assets/figures/orbital_polar_grinter.png,Examined / cited
8,8.4 Spectra and electric-dipole selection rules,PT1 [1],[1] Ch. 9; [2] Ch. 5; [5] Ch. 8; [6] Ch. 14; [7] Ch. 4; [8] hydrogen sections,BEN1–BEN4 where curriculum alignment applies,assets/figures/hydrogen_radial.png; assets/figures/orbital_polar_grinter.png,Examined / cited
9,9.1 Indistinguishability and exchange symmetry,PT1 [1],[1] Chs. 10–11; [2] §5.7–5.9; [5] Ch. 8; [6] Chs. 18–19; [9] Chs. 3–4,BEN1–BEN4 where curriculum alignment applies,assets/figures/singlet_triplet.svg,Examined / cited
9,9.2 Spin and spatial symmetry,PT1 [1],[1] Chs. 10–11; [2] §5.7–5.9; [5] Ch. 8; [6] Chs. 18–19; [9] Chs. 3–4,BEN1–BEN4 where curriculum alignment applies,assets/figures/singlet_triplet.svg,Examined / cited
9,9.3 Helium and the correlation problem,PT1 [1],[1] Chs. 10–11; [2] §5.7–5.9; [5] Ch. 8; [6] Chs. 18–19; [9] Chs. 3–4,BEN1–BEN4 where curriculum alignment applies,assets/figures/singlet_triplet.svg,Examined / cited
9,"9.4 Shells, screening, and periodic structure",PT1 [1],[1] Chs. 10–11; [2] §5.7–5.9; [5] Ch. 8; [6] Chs. 18–19; [9] Chs. 3–4,BEN1–BEN4 where curriculum alignment applies,assets/figures/singlet_triplet.svg,Examined / cited
10,10.1 Variational principle,PT1 [1],[1] approximation topics; [5] Ch. 4; [6] Ch. 15; [8] Chs. 5–6; [9] foundational applications,BEN1–BEN4 where curriculum alignment applies,assets/figures/perturbation_levels.svg,Examined / cited
10,10.2 Nondegenerate perturbation theory,PT1 [1],[1] approximation topics; [5] Ch. 4; [6] Ch. 15; [8] Chs. 5–6; [9] foundational applications,BEN1–BEN4 where curriculum alignment applies,assets/figures/perturbation_levels.svg,Examined / cited
10,10.3 Degenerate perturbation theory,PT1 [1],[1] approximation topics; [5] Ch. 4; [6] Ch. 15; [8] Chs. 5–6; [9] foundational applications,BEN1–BEN4 where curriculum alignment applies,assets/figures/perturbation_levels.svg,Examined / cited
10,10.4 Physical examples and convergence,PT1 [1],[1] approximation topics; [5] Ch. 4; [6] Ch. 15; [8] Chs. 5–6; [9] foundational applications,BEN1–BEN4 where curriculum alignment applies,assets/figures/perturbation_levels.svg,Examined / cited
11,11.1 Born–Oppenheimer separation,PT1 [1],[2] Ch. 6; [5] Ch. 9; [7] atomic/bonding sections; [8] molecular chapters; [9] Ch. 3,BEN1–BEN4 where curriculum alignment applies,assets/figures/h2_mo.svg; assets/figures/h2_antibonding_grinter.png,Examined / cited
11,11.2 LCAO molecular orbitals,PT1 [1],[2] Ch. 6; [5] Ch. 9; [7] atomic/bonding sections; [8] molecular chapters; [9] Ch. 3,BEN1–BEN4 where curriculum alignment applies,assets/figures/h2_mo.svg; assets/figures/h2_antibonding_grinter.png,Examined / cited
11,11.3 Valence bond and molecular orbital pictures,PT1 [1],[2] Ch. 6; [5] Ch. 9; [7] atomic/bonding sections; [8] molecular chapters; [9] Ch. 3,BEN1–BEN4 where curriculum alignment applies,assets/figures/h2_mo.svg; assets/figures/h2_antibonding_grinter.png,Examined / cited
11,11.4 Dissociation and static correlation,PT1 [1],[2] Ch. 6; [5] Ch. 9; [7] atomic/bonding sections; [8] molecular chapters; [9] Ch. 3,BEN1–BEN4 where curriculum alignment applies,assets/figures/h2_mo.svg; assets/figures/h2_antibonding_grinter.png,Examined / cited
12,12.1 Radiation–matter interaction,PT1 [1],[2] Ch. 8; [5] Chs. 6–8; [7] spectroscopy chapters; [11] experimental foundations,BEN1–BEN4 where curriculum alignment applies,assets/figures/spectroscopy_levels.svg; assets/figures/crystal_field.svg,Examined / cited
12,12.2 Rotational spectroscopy,PT1 [1],[2] Ch. 8; [5] Chs. 6–8; [7] spectroscopy chapters; [11] experimental foundations,BEN1–BEN4 where curriculum alignment applies,assets/figures/spectroscopy_levels.svg; assets/figures/crystal_field.svg,Examined / cited
12,12.3 Vibrational and rovibrational spectra,PT1 [1],[2] Ch. 8; [5] Chs. 6–8; [7] spectroscopy chapters; [11] experimental foundations,BEN1–BEN4 where curriculum alignment applies,assets/figures/spectroscopy_levels.svg; assets/figures/crystal_field.svg,Examined / cited
12,"12.4 Electronic spectra, spin, and transition-metal examples",PT1 [1],[2] Ch. 8; [5] Chs. 6–8; [7] spectroscopy chapters; [11] experimental foundations,BEN1–BEN4 where curriculum alignment applies,assets/figures/spectroscopy_levels.svg; assets/figures/crystal_field.svg,Examined / cited
13,13.1 The Hartree–Fock approximation,PT1 [1],[5] Ch. 9; [8] electronic-structure chapters; [9] Chs. 3–6; [2] computational developments,BEN1–BEN4 where curriculum alignment applies,assets/figures/scf_cycle.svg,Examined / cited
13,13.2 Self-consistent field iteration,PT1 [1],[5] Ch. 9; [8] electronic-structure chapters; [9] Chs. 3–6; [2] computational developments,BEN1–BEN4 where curriculum alignment applies,assets/figures/scf_cycle.svg,Examined / cited
13,13.3 Roothaan–Hall matrix equations,PT1 [1],[5] Ch. 9; [8] electronic-structure chapters; [9] Chs. 3–6; [2] computational developments,BEN1–BEN4 where curriculum alignment applies,assets/figures/scf_cycle.svg,Examined / cited
13,13.4 Basis-set quality and chemical meaning,PT1 [1],[5] Ch. 9; [8] electronic-structure chapters; [9] Chs. 3–6; [2] computational developments,BEN1–BEN4 where curriculum alignment applies,assets/figures/scf_cycle.svg,Examined / cited
14,14.1 Dynamic and static correlation,PT1 [1],[8] correlation chapters; [9] Ch. 8 and related methods; [5] Ch. 9; [2] correlation discussion,BEN1–BEN4 where curriculum alignment applies,assets/figures/correlation_ladder.svg,Examined / cited
14,14.2 Configuration interaction,PT1 [1],[8] correlation chapters; [9] Ch. 8 and related methods; [5] Ch. 9; [2] correlation discussion,BEN1–BEN4 where curriculum alignment applies,assets/figures/correlation_ladder.svg,Examined / cited
14,14.3 Møller–Plesset perturbation theory,PT1 [1],[8] correlation chapters; [9] Ch. 8 and related methods; [5] Ch. 9; [2] correlation discussion,BEN1–BEN4 where curriculum alignment applies,assets/figures/correlation_ladder.svg,Examined / cited
14,14.4 Coupled cluster and method choice,PT1 [1],[8] correlation chapters; [9] Ch. 8 and related methods; [5] Ch. 9; [2] correlation discussion,BEN1–BEN4 where curriculum alignment applies,assets/figures/correlation_ladder.svg,Examined / cited
15,15.1 Why multiconfigurational wavefunctions?,PT1 [1],"[9] Chs. 7–13, especially Ch. 9; [8] multireference discussions; [2] bonding/excited-state applications",BEN1–BEN4 where curriculum alignment applies,assets/figures/casscf_active_space_roos.png; assets/figures/correlation_ladder.svg,Examined / cited
15,15.2 Complete active space,PT1 [1],"[9] Chs. 7–13, especially Ch. 9; [8] multireference discussions; [2] bonding/excited-state applications",BEN1–BEN4 where curriculum alignment applies,assets/figures/casscf_active_space_roos.png; assets/figures/correlation_ladder.svg,Examined / cited
15,15.3 Choosing and validating an active space,PT1 [1],"[9] Chs. 7–13, especially Ch. 9; [8] multireference discussions; [2] bonding/excited-state applications",BEN1–BEN4 where curriculum alignment applies,assets/figures/casscf_active_space_roos.png; assets/figures/correlation_ladder.svg,Examined / cited
15,15.4 State averaging and dynamic-correlation corrections,PT1 [1],"[9] Chs. 7–13, especially Ch. 9; [8] multireference discussions; [2] bonding/excited-state applications",BEN1–BEN4 where curriculum alignment applies,assets/figures/casscf_active_space_roos.png; assets/figures/correlation_ladder.svg,Examined / cited
16,16.1 Composite systems and entanglement,PT1 [1],[3] Chs. 1–4 and later topics; [4] interpretations/tensor products; [8] Chs. 1–3; [10] conceptual history; [9] relativistic effects,BEN1–BEN4 where curriculum alignment applies,assets/figures/bell.svg; assets/figures/dirac_bell_workflow.svg,Examined / cited
16,16.2 Bell inequalities and nonclassical correlations,PT1 [1],[3] Chs. 1–4 and later topics; [4] interpretations/tensor products; [8] Chs. 1–3; [10] conceptual history; [9] relativistic effects,BEN1–BEN4 where curriculum alignment applies,assets/figures/bell.svg; assets/figures/dirac_bell_workflow.svg,Examined / cited
16,16.3 Interpretations and the measurement problem,PT1 [1],[3] Chs. 1–4 and later topics; [4] interpretations/tensor products; [8] Chs. 1–3; [10] conceptual history; [9] relativistic effects,BEN1–BEN4 where curriculum alignment applies,assets/figures/bell.svg; assets/figures/dirac_bell_workflow.svg,Examined / cited
16,16.4 Relativistic extension and integrated workflow,PT1 [1],[3] Chs. 1–4 and later topics; [4] interpretations/tensor products; [8] Chs. 1–3; [10] conceptual history; [9] relativistic effects,BEN1–BEN4 where curriculum alignment applies,assets/figures/bell.svg; assets/figures/dirac_bell_workflow.svg,Examined / cited
