Figure,Module,Topic,Visual type,Creator,Original source,Source page/figure,Licence/permission,Modification,Caption/alt summary,Local location,Status
10.1,10,"Liquids, Solids, and Phase Changes",Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,"Conceptual map for Liquids, Solids, and Phase Changes",Inline in index.html,Verified for use
11.1,11,Solutions and Their Properties,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Solutions and Their Properties,Inline in index.html,Verified for use
12.1,12,Rates and Mechanisms of Chemical Reactions,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Rates and Mechanisms of Chemical Reactions,Inline in index.html,Verified for use
13.1,13,Chemical Equilibrium: The Extent of Chemical Reactions,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Chemical Equilibrium: The Extent of Chemical Reactions,Inline in index.html,Verified for use
14.1,14,Aqueous Equilibria: Acids and Bases,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Aqueous Equilibria: Acids and Bases,Inline in index.html,Verified for use
15.1,15,Applications of Aqueous Equilibria,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Applications of Aqueous Equilibria,Inline in index.html,Verified for use
16.1,16,"Thermodynamics: Entropy, Free Energy, and Equilibrium",Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,"Conceptual map for Thermodynamics: Entropy, Free Energy, and Equilibrium",Inline in index.html,Verified for use
17.1,17,Electrochemistry,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Electrochemistry,Inline in index.html,Verified for use
18.1,18,"Hydrogen, Oxygen, and Water",Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,"Conceptual map for Hydrogen, Oxygen, and Water",Inline in index.html,Verified for use
19.1,19,The Main-Group Elements,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for The Main-Group Elements,Inline in index.html,Verified for use
20.1,20,Transition Elements and Coordination Chemistry,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Transition Elements and Coordination Chemistry,Inline in index.html,Verified for use
21.1,21,Metals and Solid-State Materials,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Metals and Solid-State Materials,Inline in index.html,Verified for use
22.1,22,Nuclear Chemistry,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Nuclear Chemistry,Inline in index.html,Verified for use
23.1,23,Organic and Biological Chemistry,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Organic and Biological Chemistry,Inline in index.html,Verified for use
