Figure,Module,Title EN,Title AR,Type,Creator,Scientific source,Pages,Local file,Data file,Licence/permission,Alt text EN,Alt text AR,Verification
13,13,Bonding and antibonding molecular orbitals,المدارات الجزيئية الرابطة والمضادة للرابطة,original molecular-orbital schematic,Original course asset,Chang & Thoman [1],557–610,assets/figures/fig13_mo.svg,N/A,Original educational asset; no third-party visual reproduced,"Two atomic orbitals combine into lower bonding and higher antibonding molecular orbitals, with two electrons in the bonding level.",مداران ذريان يتحدان إلى مدار جزيئي رابط منخفض ومضاد للرابطة مرتفع مع إلكترونين في المستوى الرابط.,Verified for use
14,14,Jablonski diagram for electronic relaxation,مخطط جابلونسكي للاسترخاء الإلكتروني,original photophysical schematic,Original course asset,Chang & Thoman [1],611–670,assets/figures/fig14_jablonski.svg,N/A,Original educational asset; no third-party visual reproduced,"Electronic state diagram with absorption, internal conversion, fluorescence, intersystem crossing, and phosphorescence.",مخطط حالات إلكترونية مع الامتصاص والتحول الداخلي والفلورية والعبور بين الأنظمة والفسفورية.,Verified for use
15,15,Arrhenius plot and activation energy,مخطط أرينيوس وطاقة التنشيط,calculated kinetic graph,Original course asset,Chang & Thoman [1],671–742,assets/figures/fig15_arrhenius.svg,assets/data/fig15_arrhenius.csv,Original educational asset; no third-party visual reproduced,Straight line of ln k versus reciprocal temperature for a model with activation energy 50 kilojoules per mole.,خط مستقيم لـln k مقابل مقلوب الحرارة لنموذج بطاقة تنشيط 50 كيلوجول لكل مول.,Verified for use
16,16,Formation and photolysis of stratospheric ozone,تكوّن الأوزون الستراتوسفيري وتحلله الضوئي,original reaction-cycle schematic,Original course asset,Chang & Thoman [1],743–778,assets/figures/fig16_ozone.svg,N/A,Original educational asset; no third-party visual reproduced,"Cycle linking oxygen molecule, oxygen atom, and ozone through photolysis and recombination.",دورة تربط جزيء الأكسجين وذرة الأكسجين والأوزون عبر التحلل الضوئي وإعادة الاتحاد.,Verified for use
17,17,"Repulsion, attraction, and the Lennard–Jones minimum",التنافر والتجاذب وقاع جهد لينارد–جونز,theoretical pair-potential graph,Original course asset,Chang & Thoman [1],779–808,assets/figures/fig17_lj.svg,assets/data/fig17_lj.csv,Original educational asset; no third-party visual reproduced,"Lennard-Jones potential with steep short-range repulsion, negative minimum, and long-range approach to zero.",جهد لينارد–جونز بتنافر حاد قصير المدى وقيمة صغرى سالبة واقتراب بعيد المدى من الصفر.,Verified for use
18,18,Bragg diffraction from parallel lattice planes,حيود براج من مستويات شبكية متوازية,original diffraction-geometry schematic,Original course asset,Chang & Thoman [1],809–842,assets/figures/fig18_bragg.svg,N/A,Original educational asset; no third-party visual reproduced,Two crystal planes and two rays showing interplanar spacing d and angle theta for the Bragg condition.,مستويان بلوريان وشعاعان يوضحان المسافة d والزاوية ثيتا لشرط براج.,Verified for use
19,19,Fickian diffusion broadens concentration gradients,الانتشار الفيكي يوسّع تدرجات التركيز,calculated diffusion-model graph,Original course asset,Chang & Thoman [1],843–874,assets/figures/fig19_diffusion.svg,assets/data/fig19_diffusion.csv,Original educational asset; no third-party visual reproduced,Three concentration profiles broaden with increasing scaled diffusion time.,ثلاثة منحنيات تركيز تتسع مع زيادة الزمن الانتشاري المقياس.,Verified for use
20,20,Thermal population of a two-level system,السكان الحراري لنظام ثنائي المستويات,calculated statistical graph,Original course asset,Chang & Thoman [1],875–906,assets/figures/fig20_boltzmann.svg,assets/data/fig20_boltzmann.csv,Original educational asset; no third-party visual reproduced,Ground and excited population fractions versus temperature for a five kilojoule per mole gap.,كسرا سكان الحالة الأرضية والمثارة مقابل الحرارة لفجوة خمسة كيلوجول لكل مول.,Verified for use
I2,2,Interactive Maxwell speed distribution,توزيع ماكسويل التفاعلي للسرعات,Interactive calculated graph,Original course asset,Chang & Thoman [1],35–72,Embedded HTML canvas / assets/app.js,Calculated client-side from cited equation,Original educational asset; no third-party visual reproduced,Interactive Maxwell speed distribution for nitrogen as temperature changes,توزيع ماكسويل التفاعلي لسرعات النيتروجين مع تغير درجة الحرارة,Verified for use
I10,10,Interactive particle in a box,جسيم تفاعلي في صندوق,Interactive calculated quantum graph,Original course asset,Chang & Thoman [1],383–446,Embedded HTML canvas / assets/app.js,Calculated client-side from cited equation,Original educational asset; no third-party visual reproduced,Interactive one-dimensional particle-in-a-box wavefunction,دالة موجة تفاعلية لجسيم أحادي البعد في صندوق,Verified for use
I20,20,Interactive two-level Boltzmann populations,سكان بولتزمان التفاعليون لنظام ثنائي المستويات,Interactive calculated statistical graph,Original course asset,Chang & Thoman [1],875–906,Embedded HTML canvas / assets/app.js,Calculated client-side from cited equation,Original educational asset; no third-party visual reproduced,Interactive two-level Boltzmann population graph,رسم تفاعلي لسكان بولتزمان في نظام ثنائي المستويات,Verified for use
